station_id,first_seen,last_seen,active_days,rent_events,ret_events,name,lat,lon,gu,dong,addr,span_days,activity_ratio,total_events,in_current_list,station_type
ST0953,2024-08-01,2026-03-31,486,1065,1067,석봉동 이노센스뷰아파트,36.447445,127.424825,대덕구,석봉동,대전광역시 대덕구 석봉동 759,608,0.7993,2132,True,ACTIVE
ST0146,2024-08-01,2026-03-31,469,1103,1027,신일동 삼양패키징 대전2공장 정류장,36.444337,127.404176,대덕구,신일동,대전광역시 대덕구 신일동 1685-3,608,0.7714,2130,True,ACTIVE
ST1218,2024-08-02,2026-03-30,438,1066,1063,송촌동 적십자 버스정류장,36.352955,127.442832,대덕구,송촌동,대전광역시 대덕구 송촌동 367,606,0.7228,2129,True,ACTIVE
ST1472,2025-10-22,2026-03-31,130,1064,1064,갈마2동 행정복지센터 옆 (김한돈),36.346435,127.374889,서구,갈마동,대전광역시 서구 갈마동 1458,161,0.8075,2128,True,ACTIVE
ST0643,2024-08-01,2026-03-31,399,1072,1054,문지동 국립문화재연구원,36.390565,127.392119,유성구,문지동,대전광역시 유성구 문지동 472,608,0.6562,2126,True,ACTIVE
ST0997,2024-08-01,2026-03-31,467,1054,1053,가오동 은어송마을 1단지(108동),36.303742,127.457495,동구,가오동,대전광역시 동구 가오동 727,608,0.7681,2107,True,ACTIVE
ST1471,2025-10-27,2026-03-31,127,1053,1050,도안동 예미지105동 앞,36.330213,127.343172,서구,도안동,대전광역시 서구 도안동 965,156,0.8141,2103,True,ACTIVE
ST1456,2025-10-20,2026-03-31,135,1046,1052,천동 리더스시티 5단지아파트 511동,36.319097,127.446311,동구,천동,대전광역시 동구 천동 7-16,163,0.8282,2098,True,ACTIVE
ST1463,2025-10-18,2026-03-31,132,1048,1049,가양동 동구국민체육센터,36.339737,127.437631,동구,가양동,대전광역시 동구 가양동 709-1,165,0.8,2097,True,ACTIVE
ST0863,2024-08-01,2026-03-31,461,1050,1042,덕암동 덕암동행정복지센터,36.44008,127.42703,대덕구,덕암동,대전광역시 대덕구 덕암동 48-2,608,0.7582,2092,True,ACTIVE
ST0976,2024-08-01,2026-03-31,456,1028,1033,송촌동 송촌서오아파트(104동),36.359496,127.445773,대덕구,송촌동,대전광역시 대덕구 송촌동 555,608,0.75,2061,True,ACTIVE
ST1215,2024-08-01,2026-03-31,452,1040,1007,용산동 호반써밋(4단지관리사무소앞),36.41434,127.393669,유성구,용산동,대전광역시 유성구 용산동 400-3,608,0.7434,2047,True,ACTIVE
ST0719,2024-08-02,2026-03-31,462,1012,1004,갈마동 굿에프터눈안경원,36.342224,127.371818,서구,갈마동,대전광역시 서구 갈마동 403-17,607,0.7611,2016,True,ACTIVE
ST0893,2024-08-01,2026-03-31,481,1013,1000,노은동 열매마을 11단지(1109동),36.364508,127.31358,유성구,노은동,대전광역시 유성구 노은동 552-3,608,0.7911,2013,True,ACTIVE
ST1286,2024-08-01,2026-03-31,442,1017,994,복수동 복수센트럴자이 앞,36.305805,127.372904,서구,복수동,대전광역시 서구 복수동 1004,608,0.727,2011,True,ACTIVE
ST0698,2024-08-01,2026-04-01,419,1009,1000,덕명동 한밭대학교 미래동 후문,36.346023,127.303663,유성구,덕명동,대전광역시 유성구 덕명동 608-1,609,0.688,2009,True,ACTIVE
ST1521,2025-10-30,2026-03-31,123,1000,1002,탄방동 서구노인복지관,36.345649,127.396712,서구,탄방동,대전광역시 서구 탄방동 1084,153,0.8039,2002,True,ACTIVE
ST1182,2024-08-01,2026-03-31,448,1000,1002,복용동 오토월드 버스정류장,36.342351,127.321093,유성구,복용동,대전광역시 유성구 복용동 175-3,608,0.7368,2002,True,ACTIVE
ST1169,2024-08-01,2026-03-31,433,998,998, 문화동 충남대학교병원 간호대학,36.315591,127.413314,중구,문화동,대전광역시 중구 문화동 6,608,0.7122,1996,True,ACTIVE
ST1140,2024-08-01,2026-03-28,455,1010,986,노은동 노은농수산물시장,36.36658,127.321225,유성구,노은동,대전광역시 유성구 노은동 612,605,0.7521,1996,True,ACTIVE
ST1532,2026-01-28,2026-03-31,63,1001,982,구암동 유성복합터미널,36.355244,127.330402,유성구,구암동,대전광역시 유성구 구암동 81-1,63,1.0,1983,True,NEW
ST1400,2024-11-27,2026-03-31,356,991,990,중리동근린공원 정류장(중리동주민센터방면),36.363632,127.42504,대덕구,중리동,대전광역시 대덕구 중리동 384-5,490,0.7265,1981,True,ACTIVE
ST0468,2024-08-01,2026-03-31,423,986,987,덕명동 S-OIL 건너편,36.347763,127.299878,유성구,덕명동,대전광역시 유성구 덕명동 597-14,608,0.6957,1973,True,ACTIVE
ST0884,2024-08-01,2026-03-31,438,1014,949,전민동 한국한의학연구원 건너편,36.400008,127.394138,유성구,전민동,대전광역시 유성구 전민동 263-6,608,0.7204,1963,True,ACTIVE
ST0678,2024-08-01,2026-03-31,452,993,968,가양동 와와툴코리아,36.348707,127.443426,동구,가양동,대전광역시 동구 가양동 429-4,608,0.7434,1961,True,ACTIVE
ST0077,2024-08-01,2026-03-31,439,997,960,용전동 동대전새마을금고 용전지점,36.353727,127.432766,동구,용전동,대전광역시 동구 용전동 127-35,608,0.722,1957,True,ACTIVE
ST0980,2024-08-01,2026-03-31,447,976,980,가양동 두원빌라(A동),36.349513,127.449036,동구,가양동,대전광역시 동구 가양동 675,608,0.7352,1956,True,ACTIVE
ST1091,2024-08-01,2026-03-31,448,996,946,법동 대전근로복지공단대전병원(정문),36.368093,127.42945,대덕구,법동,대전광역시 대덕구 법동 372,608,0.7368,1942,True,ACTIVE
ST0986,2024-08-01,2026-03-31,429,964,970,가양동 녹십자약국,36.346302,127.445393,동구,가양동,대전광역시 동구 가양동 418-18,608,0.7056,1934,True,ACTIVE
